title,image-alter,src,secret
反物质,反物质,https://patchwiki.biligame.com/images/dsp/thumb/4/44/g2wy7adjl5bgf1srdbghf3w76ms4gd8.png/40px-%E5%8F%8D%E7%89%A9%E8%B4%A8.png,"https://patchwiki.biligame.com/images/dsp/thumb/4/44/g2wy7adjl5bgf1srdbghf3w76ms4gd8.png/60px-%E5%8F%8D%E7%89%A9%E8%B4%A8.png 1.5x, https://patchwiki.biligame.com/images/dsp/4/44/g2wy7adjl5bgf1srdbghf3w76ms4gd8.png 2x"
核心素,核心素,https://patchwiki.biligame.com/images/dsp/thumb/6/65/l1ifynrq87fw3lmpxym1hf2z0p8vklv.png/40px-%E6%A0%B8%E5%BF%83%E7%B4%A0.png,"https://patchwiki.biligame.com/images/dsp/thumb/6/65/l1ifynrq87fw3lmpxym1hf2z0p8vklv.png/60px-%E6%A0%B8%E5%BF%83%E7%B4%A0.png 1.5x, https://patchwiki.biligame.com/images/dsp/6/65/l1ifynrq87fw3lmpxym1hf2z0p8vklv.png 2x"
粒子容器,粒子容器,https://patchwiki.biligame.com/images/dsp/thumb/2/2d/7bya5jjq7fg5myd5qo1tdxb1ngulgbl.png/40px-%E7%B2%92%E5%AD%90%E5%AE%B9%E5%99%A8.png,"https://patchwiki.biligame.com/images/dsp/thumb/2/2d/7bya5jjq7fg5myd5qo1tdxb1ngulgbl.png/60px-%E7%B2%92%E5%AD%90%E5%AE%B9%E5%99%A8.png 1.5x, https://patchwiki.biligame.com/images/dsp/2/2d/7bya5jjq7fg5myd5qo1tdxb1ngulgbl.png 2x"
金伯利矿石,金伯利矿石,https://patchwiki.biligame.com/images/dsp/thumb/7/79/sxcztcmd8tcbx5pbg69sggq4q7nirah.png/40px-%E9%87%91%E4%BC%AF%E5%88%A9%E7%9F%BF%E7%9F%B3.png,"https://patchwiki.biligame.com/images/dsp/thumb/7/79/sxcztcmd8tcbx5pbg69sggq4q7nirah.png/60px-%E9%87%91%E4%BC%AF%E5%88%A9%E7%9F%BF%E7%9F%B3.png 1.5x, https://patchwiki.biligame.com/images/dsp/7/79/sxcztcmd8tcbx5pbg69sggq4q7nirah.png 2x"
铁块,铁块,https://patchwiki.biligame.com/images/dsp/thumb/6/65/lyuse846g6rpd7p2evbxtp1yr3l8mwg.png/40px-%E9%93%81%E5%9D%97.png,"https://patchwiki.biligame.com/images/dsp/thumb/6/65/lyuse846g6rpd7p2evbxtp1yr3l8mwg.png/60px-%E9%93%81%E5%9D%97.png 1.5x, https://patchwiki.biligame.com/images/dsp/6/65/lyuse846g6rpd7p2evbxtp1yr3l8mwg.png 2x"
铜块,铜块,https://patchwiki.biligame.com/images/dsp/thumb/2/29/p85fcng6r6j9ltj7j9vz6l0z5b66ncg.png/40px-%E9%93%9C%E5%9D%97.png,"https://patchwiki.biligame.com/images/dsp/thumb/2/29/p85fcng6r6j9ltj7j9vz6l0z5b66ncg.png/60px-%E9%93%9C%E5%9D%97.png 1.5x, https://patchwiki.biligame.com/images/dsp/2/29/p85fcng6r6j9ltj7j9vz6l0z5b66ncg.png 2x"
石材,石材,https://patchwiki.biligame.com/images/dsp/thumb/9/92/2vdsjgbnntoq676ajriayfw0jjnvt82.png/40px-%E7%9F%B3%E6%9D%90.png,"https://patchwiki.biligame.com/images/dsp/thumb/9/92/2vdsjgbnntoq676ajriayfw0jjnvt82.png/60px-%E7%9F%B3%E6%9D%90.png 1.5x, https://patchwiki.biligame.com/images/dsp/9/92/2vdsjgbnntoq676ajriayfw0jjnvt82.png 2x"
高能石墨,高能石墨,https://patchwiki.biligame.com/images/dsp/thumb/e/ef/cce1417aahd3j8l0j3j1i5n65u90mxk.png/40px-%E9%AB%98%E8%83%BD%E7%9F%B3%E5%A2%A8.png,"https://patchwiki.biligame.com/images/dsp/thumb/e/ef/cce1417aahd3j8l0j3j1i5n65u90mxk.png/60px-%E9%AB%98%E8%83%BD%E7%9F%B3%E5%A2%A8.png 1.5x, https://patchwiki.biligame.com/images/dsp/e/ef/cce1417aahd3j8l0j3j1i5n65u90mxk.png 2x"
高纯硅块,高纯硅块,https://patchwiki.biligame.com/images/dsp/thumb/9/9b/qvcgdp4y8xoxgp8fwmr450t5edby863.png/40px-%E9%AB%98%E7%BA%AF%E7%A1%85%E5%9D%97.png,"https://patchwiki.biligame.com/images/dsp/thumb/9/9b/qvcgdp4y8xoxgp8fwmr450t5edby863.png/60px-%E9%AB%98%E7%BA%AF%E7%A1%85%E5%9D%97.png 1.5x, https://patchwiki.biligame.com/images/dsp/9/9b/qvcgdp4y8xoxgp8fwmr450t5edby863.png 2x"
钛块,钛块,https://patchwiki.biligame.com/images/dsp/thumb/2/20/r17nghz05oko9qnemth86950je8xl8b.png/40px-%E9%92%9B%E5%9D%97.png,"https://patchwiki.biligame.com/images/dsp/thumb/2/20/r17nghz05oko9qnemth86950je8xl8b.png/60px-%E9%92%9B%E5%9D%97.png 1.5x, https://patchwiki.biligame.com/images/dsp/2/20/r17nghz05oko9qnemth86950je8xl8b.png 2x"
硫酸,硫酸,https://patchwiki.biligame.com/images/dsp/thumb/6/69/b2bml1uzqovznm139n1k336xpx39m86.png/40px-%E7%A1%AB%E9%85%B8.png,"https://patchwiki.biligame.com/images/dsp/thumb/6/69/b2bml1uzqovznm139n1k336xpx39m86.png/60px-%E7%A1%AB%E9%85%B8.png 1.5x, https://patchwiki.biligame.com/images/dsp/6/69/b2bml1uzqovznm139n1k336xpx39m86.png 2x"
精炼油,精炼油,https://patchwiki.biligame.com/images/dsp/thumb/e/ed/h6fekkszixc24guqr2sd3eaw0vjeged.png/40px-%E7%B2%BE%E7%82%BC%E6%B2%B9.png,"https://patchwiki.biligame.com/images/dsp/thumb/e/ed/h6fekkszixc24guqr2sd3eaw0vjeged.png/60px-%E7%B2%BE%E7%82%BC%E6%B2%B9.png 1.5x, https://patchwiki.biligame.com/images/dsp/e/ed/h6fekkszixc24guqr2sd3eaw0vjeged.png 2x"
液氢燃料棒,液氢燃料棒,https://patchwiki.biligame.com/images/dsp/thumb/5/57/1knidqa49idm7j8t73ol10vr80lr16z.png/40px-%E6%B6%B2%E6%B0%A2%E7%87%83%E6%96%99%E6%A3%92.png,"https://patchwiki.biligame.com/images/dsp/thumb/5/57/1knidqa49idm7j8t73ol10vr80lr16z.png/60px-%E6%B6%B2%E6%B0%A2%E7%87%83%E6%96%99%E6%A3%92.png 1.5x, https://patchwiki.biligame.com/images/dsp/5/57/1knidqa49idm7j8t73ol10vr80lr16z.png 2x"
氘核燃料棒,氘核燃料棒,https://patchwiki.biligame.com/images/dsp/thumb/2/23/kg40nsms4kui3eq6ej9t4l5gfh0fb3a.png/40px-%E6%B0%98%E6%A0%B8%E7%87%83%E6%96%99%E6%A3%92.png,"https://patchwiki.biligame.com/images/dsp/thumb/2/23/kg40nsms4kui3eq6ej9t4l5gfh0fb3a.png/60px-%E6%B0%98%E6%A0%B8%E7%87%83%E6%96%99%E6%A3%92.png 1.5x, https://patchwiki.biligame.com/images/dsp/2/23/kg40nsms4kui3eq6ej9t4l5gfh0fb3a.png 2x"
反物质燃料棒,反物质燃料棒,https://patchwiki.biligame.com/images/dsp/thumb/5/5f/r91zfc11v0ovse1x32csl099lpx5778.png/40px-%E5%8F%8D%E7%89%A9%E8%B4%A8%E7%87%83%E6%96%99%E6%A3%92.png,"https://patchwiki.biligame.com/images/dsp/thumb/5/5f/r91zfc11v0ovse1x32csl099lpx5778.png/60px-%E5%8F%8D%E7%89%A9%E8%B4%A8%E7%87%83%E6%96%99%E6%A3%92.png 1.5x, https://patchwiki.biligame.com/images/dsp/5/5f/r91zfc11v0ovse1x32csl099lpx5778.png 2x"
奇异湮灭燃料棒,奇异湮灭燃料棒,https://patchwiki.biligame.com/images/dsp/thumb/c/c2/3mlrbv4sr75v16cyzeelc33j9naj6d8.png/40px-%E5%A5%87%E5%BC%82%E6%B9%AE%E7%81%AD%E7%87%83%E6%96%99%E6%A3%92.png,"https://patchwiki.biligame.com/images/dsp/thumb/c/c2/3mlrbv4sr75v16cyzeelc33j9naj6d8.png/60px-%E5%A5%87%E5%BC%82%E6%B9%AE%E7%81%AD%E7%87%83%E6%96%99%E6%A3%92.png 1.5x, https://patchwiki.biligame.com/images/dsp/c/c2/3mlrbv4sr75v16cyzeelc33j9naj6d8.png 2x"
临界光子,临界光子,https://patchwiki.biligame.com/images/dsp/thumb/9/96/sdzkuns1pfvmetxu9hqif50ngwvm805.png/40px-%E4%B8%B4%E7%95%8C%E5%85%89%E5%AD%90.png,"https://patchwiki.biligame.com/images/dsp/thumb/9/96/sdzkuns1pfvmetxu9hqif50ngwvm805.png/60px-%E4%B8%B4%E7%95%8C%E5%85%89%E5%AD%90.png 1.5x, https://patchwiki.biligame.com/images/dsp/9/96/sdzkuns1pfvmetxu9hqif50ngwvm805.png 2x"
分形硅石,分形硅石,https://patchwiki.biligame.com/images/dsp/thumb/5/5f/dmxm49l0l8mjhex7yf1smpxebq0s0jk.png/40px-%E5%88%86%E5%BD%A2%E7%A1%85%E7%9F%B3.png,"https://patchwiki.biligame.com/images/dsp/thumb/5/5f/dmxm49l0l8mjhex7yf1smpxebq0s0jk.png/60px-%E5%88%86%E5%BD%A2%E7%A1%85%E7%9F%B3.png 1.5x, https://patchwiki.biligame.com/images/dsp/5/5f/dmxm49l0l8mjhex7yf1smpxebq0s0jk.png 2x"
磁铁,磁铁,https://patchwiki.biligame.com/images/dsp/thumb/1/1c/42v5h2i0jrs4279tgso4g2kl7v4u78g.png/40px-%E7%A3%81%E9%93%81.png,"https://patchwiki.biligame.com/images/dsp/thumb/1/1c/42v5h2i0jrs4279tgso4g2kl7v4u78g.png/60px-%E7%A3%81%E9%93%81.png 1.5x, https://patchwiki.biligame.com/images/dsp/1/1c/42v5h2i0jrs4279tgso4g2kl7v4u78g.png 2x"
磁线圈,磁线圈,https://patchwiki.biligame.com/images/dsp/thumb/a/a0/12kdu9b928x3vn4dwr36vb9dsvsb9y8.png/40px-%E7%A3%81%E7%BA%BF%E5%9C%88.png,"https://patchwiki.biligame.com/images/dsp/thumb/a/a0/12kdu9b928x3vn4dwr36vb9dsvsb9y8.png/60px-%E7%A3%81%E7%BA%BF%E5%9C%88.png 1.5x, https://patchwiki.biligame.com/images/dsp/a/a0/12kdu9b928x3vn4dwr36vb9dsvsb9y8.png 2x"
玻璃,玻璃,https://patchwiki.biligame.com/images/dsp/thumb/0/04/70ai2r2llinr8r2q6p0em5czefa33xb.png/40px-%E7%8E%BB%E7%92%83.png,"https://patchwiki.biligame.com/images/dsp/thumb/0/04/70ai2r2llinr8r2q6p0em5czefa33xb.png/60px-%E7%8E%BB%E7%92%83.png 1.5x, https://patchwiki.biligame.com/images/dsp/0/04/70ai2r2llinr8r2q6p0em5czefa33xb.png 2x"
金刚石,金刚石,https://patchwiki.biligame.com/images/dsp/thumb/9/9a/shvg0mht252zjw1qjva81ypfda1bupu.png/40px-%E9%87%91%E5%88%9A%E7%9F%B3.png,"https://patchwiki.biligame.com/images/dsp/thumb/9/9a/shvg0mht252zjw1qjva81ypfda1bupu.png/60px-%E9%87%91%E5%88%9A%E7%9F%B3.png 1.5x, https://patchwiki.biligame.com/images/dsp/9/9a/shvg0mht252zjw1qjva81ypfda1bupu.png 2x"
晶格硅,晶格硅,https://patchwiki.biligame.com/images/dsp/thumb/f/f9/985alhmi4kbluulzhizsw935kxtcdmh.png/40px-%E6%99%B6%E6%A0%BC%E7%A1%85.png,"https://patchwiki.biligame.com/images/dsp/thumb/f/f9/985alhmi4kbluulzhizsw935kxtcdmh.png/60px-%E6%99%B6%E6%A0%BC%E7%A1%85.png 1.5x, https://patchwiki.biligame.com/images/dsp/f/f9/985alhmi4kbluulzhizsw935kxtcdmh.png 2x"
钛合金,钛合金,https://patchwiki.biligame.com/images/dsp/thumb/b/b3/ry1i288kc8lnpp3xaindcdhoajlrt0v.png/40px-%E9%92%9B%E5%90%88%E9%87%91.png,"https://patchwiki.biligame.com/images/dsp/thumb/b/b3/ry1i288kc8lnpp3xaindcdhoajlrt0v.png/60px-%E9%92%9B%E5%90%88%E9%87%91.png 1.5x, https://patchwiki.biligame.com/images/dsp/b/b3/ry1i288kc8lnpp3xaindcdhoajlrt0v.png 2x"
燃烧单元,燃烧单元,https://patchwiki.biligame.com/images/dsp/thumb/8/83/gcmmuom0r81ij0zneq2v4zk975gtwgs.png/40px-%E7%87%83%E7%83%A7%E5%8D%95%E5%85%83.png,"https://patchwiki.biligame.com/images/dsp/thumb/8/83/gcmmuom0r81ij0zneq2v4zk975gtwgs.png/60px-%E7%87%83%E7%83%A7%E5%8D%95%E5%85%83.png 1.5x, https://patchwiki.biligame.com/images/dsp/8/83/gcmmuom0r81ij0zneq2v4zk975gtwgs.png 2x"
塑料,塑料,https://patchwiki.biligame.com/images/dsp/thumb/8/83/1a8yttojfxwqksmc49qiu3g2jw84cd5.png/40px-%E5%A1%91%E6%96%99.png,"https://patchwiki.biligame.com/images/dsp/thumb/8/83/1a8yttojfxwqksmc49qiu3g2jw84cd5.png/60px-%E5%A1%91%E6%96%99.png 1.5x, https://patchwiki.biligame.com/images/dsp/8/83/1a8yttojfxwqksmc49qiu3g2jw84cd5.png 2x"
有机晶体,有机晶体,https://patchwiki.biligame.com/images/dsp/thumb/4/40/fzlvyo5khsgfe9wbvhrmhc3tbjia8ks.png/40px-%E6%9C%89%E6%9C%BA%E6%99%B6%E4%BD%93.png,"https://patchwiki.biligame.com/images/dsp/thumb/4/40/fzlvyo5khsgfe9wbvhrmhc3tbjia8ks.png/60px-%E6%9C%89%E6%9C%BA%E6%99%B6%E4%BD%93.png 1.5x, https://patchwiki.biligame.com/images/dsp/4/40/fzlvyo5khsgfe9wbvhrmhc3tbjia8ks.png 2x"
石墨烯,石墨烯,https://patchwiki.biligame.com/images/dsp/thumb/8/84/bnu9mxqowmpy3o2mn0a3t8kmtpe4f40.png/40px-%E7%9F%B3%E5%A2%A8%E7%83%AF.png,"https://patchwiki.biligame.com/images/dsp/thumb/8/84/bnu9mxqowmpy3o2mn0a3t8kmtpe4f40.png/60px-%E7%9F%B3%E5%A2%A8%E7%83%AF.png 1.5x, https://patchwiki.biligame.com/images/dsp/8/84/bnu9mxqowmpy3o2mn0a3t8kmtpe4f40.png 2x"
湮灭约束球,湮灭约束球,https://patchwiki.biligame.com/images/dsp/thumb/1/16/pzagplchruiqdw2p60768xcunbz0m0j.png/40px-%E6%B9%AE%E7%81%AD%E7%BA%A6%E6%9D%9F%E7%90%83.png,"https://patchwiki.biligame.com/images/dsp/thumb/1/16/pzagplchruiqdw2p60768xcunbz0m0j.png/60px-%E6%B9%AE%E7%81%AD%E7%BA%A6%E6%9D%9F%E7%90%83.png 1.5x, https://patchwiki.biligame.com/images/dsp/1/16/pzagplchruiqdw2p60768xcunbz0m0j.png 2x"
机枪弹箱,机枪弹箱,https://patchwiki.biligame.com/images/dsp/thumb/f/f9/3kei23qjcm0q45kpzi3hvfcqgf8keo5.png/40px-%E6%9C%BA%E6%9E%AA%E5%BC%B9%E7%AE%B1.png,"https://patchwiki.biligame.com/images/dsp/thumb/f/f9/3kei23qjcm0q45kpzi3hvfcqgf8keo5.png/60px-%E6%9C%BA%E6%9E%AA%E5%BC%B9%E7%AE%B1.png 1.5x, https://patchwiki.biligame.com/images/dsp/f/f9/3kei23qjcm0q45kpzi3hvfcqgf8keo5.png 2x"
导弹组,导弹组,https://patchwiki.biligame.com/images/dsp/thumb/c/c5/lojhm327hr7fk68r7c83vivnqi848vs.png/40px-%E5%AF%BC%E5%BC%B9%E7%BB%84.png,"https://patchwiki.biligame.com/images/dsp/thumb/c/c5/lojhm327hr7fk68r7c83vivnqi848vs.png/60px-%E5%AF%BC%E5%BC%B9%E7%BB%84.png 1.5x, https://patchwiki.biligame.com/images/dsp/c/c5/lojhm327hr7fk68r7c83vivnqi848vs.png 2x"
光栅石,光栅石,https://patchwiki.biligame.com/images/dsp/thumb/0/04/0o4xhwn22jxjt3iwlrxzght4rnp0kp2.png/40px-%E5%85%89%E6%A0%85%E7%9F%B3.png,"https://patchwiki.biligame.com/images/dsp/thumb/0/04/0o4xhwn22jxjt3iwlrxzght4rnp0kp2.png/60px-%E5%85%89%E6%A0%85%E7%9F%B3.png 1.5x, https://patchwiki.biligame.com/images/dsp/0/04/0o4xhwn22jxjt3iwlrxzght4rnp0kp2.png 2x"
钢材,钢材,https://patchwiki.biligame.com/images/dsp/thumb/2/28/cu8321il7bcki0r66ui7gz9vl1bwv8c.png/40px-%E9%92%A2%E6%9D%90.png,"https://patchwiki.biligame.com/images/dsp/thumb/2/28/cu8321il7bcki0r66ui7gz9vl1bwv8c.png/60px-%E9%92%A2%E6%9D%90.png 1.5x, https://patchwiki.biligame.com/images/dsp/2/28/cu8321il7bcki0r66ui7gz9vl1bwv8c.png 2x"
电路板,电路板,https://patchwiki.biligame.com/images/dsp/thumb/a/a6/ehqjgl0f1i7ar6frvf1vkvo93sk3zzr.png/40px-%E7%94%B5%E8%B7%AF%E6%9D%BF.png,"https://patchwiki.biligame.com/images/dsp/thumb/a/a6/ehqjgl0f1i7ar6frvf1vkvo93sk3zzr.png/60px-%E7%94%B5%E8%B7%AF%E6%9D%BF.png 1.5x, https://patchwiki.biligame.com/images/dsp/a/a6/ehqjgl0f1i7ar6frvf1vkvo93sk3zzr.png 2x"
棱镜,棱镜,https://patchwiki.biligame.com/images/dsp/thumb/b/b3/m86r4lzrszkvn2ijc208exy92i6abys.png/40px-%E6%A3%B1%E9%95%9C.png,"https://patchwiki.biligame.com/images/dsp/thumb/b/b3/m86r4lzrszkvn2ijc208exy92i6abys.png/60px-%E6%A3%B1%E9%95%9C.png 1.5x, https://patchwiki.biligame.com/images/dsp/b/b3/m86r4lzrszkvn2ijc208exy92i6abys.png 2x"
电动机,电动机,https://patchwiki.biligame.com/images/dsp/thumb/4/4a/5jfttnqvfj39f9bi8892ilpn4y1j28q.png/40px-%E7%94%B5%E5%8A%A8%E6%9C%BA.png,"https://patchwiki.biligame.com/images/dsp/thumb/4/4a/5jfttnqvfj39f9bi8892ilpn4y1j28q.png/60px-%E7%94%B5%E5%8A%A8%E6%9C%BA.png 1.5x, https://patchwiki.biligame.com/images/dsp/4/4a/5jfttnqvfj39f9bi8892ilpn4y1j28q.png 2x"
微晶元件,微晶元件,https://patchwiki.biligame.com/images/dsp/thumb/6/63/9lzxhlmks1942gh5pafwdqekbr0gphc.png/40px-%E5%BE%AE%E6%99%B6%E5%85%83%E4%BB%B6.png,"https://patchwiki.biligame.com/images/dsp/thumb/6/63/9lzxhlmks1942gh5pafwdqekbr0gphc.png/60px-%E5%BE%AE%E6%99%B6%E5%85%83%E4%BB%B6.png 1.5x, https://patchwiki.biligame.com/images/dsp/6/63/9lzxhlmks1942gh5pafwdqekbr0gphc.png 2x"
增产剂Mk.I,增产剂Mk.I,https://patchwiki.biligame.com/images/dsp/thumb/6/60/6licwlpevzitamjshbh6hf7e89ujgh6.png/40px-%E5%A2%9E%E4%BA%A7%E5%89%82Mk.I.png,"https://patchwiki.biligame.com/images/dsp/thumb/6/60/6licwlpevzitamjshbh6hf7e89ujgh6.png/60px-%E5%A2%9E%E4%BA%A7%E5%89%82Mk.I.png 1.5x, https://patchwiki.biligame.com/images/dsp/6/60/6licwlpevzitamjshbh6hf7e89ujgh6.png 2x"
爆破单元,爆破单元,https://patchwiki.biligame.com/images/dsp/thumb/4/49/0ij633714cvvlbr78vmrwul0r2y37cr.png/40px-%E7%88%86%E7%A0%B4%E5%8D%95%E5%85%83.png,"https://patchwiki.biligame.com/images/dsp/thumb/4/49/0ij633714cvvlbr78vmrwul0r2y37cr.png/60px-%E7%88%86%E7%A0%B4%E5%8D%95%E5%85%83.png 1.5x, https://patchwiki.biligame.com/images/dsp/4/49/0ij633714cvvlbr78vmrwul0r2y37cr.png 2x"
奇异物质,奇异物质,https://patchwiki.biligame.com/images/dsp/thumb/1/1b/5f8jcg546csmbleqy0hfwym3g252sus.png/40px-%E5%A5%87%E5%BC%82%E7%89%A9%E8%B4%A8.png,"https://patchwiki.biligame.com/images/dsp/thumb/1/1b/5f8jcg546csmbleqy0hfwym3g252sus.png/60px-%E5%A5%87%E5%BC%82%E7%89%A9%E8%B4%A8.png 1.5x, https://patchwiki.biligame.com/images/dsp/1/1b/5f8jcg546csmbleqy0hfwym3g252sus.png 2x"
钛晶石,钛晶石,https://patchwiki.biligame.com/images/dsp/thumb/a/ab/dospmao0jmegz0t123rossm3tlihmz4.png/40px-%E9%92%9B%E6%99%B6%E7%9F%B3.png,"https://patchwiki.biligame.com/images/dsp/thumb/a/ab/dospmao0jmegz0t123rossm3tlihmz4.png/60px-%E9%92%9B%E6%99%B6%E7%9F%B3.png 1.5x, https://patchwiki.biligame.com/images/dsp/a/ab/dospmao0jmegz0t123rossm3tlihmz4.png 2x"
碳纳米管,碳纳米管,https://patchwiki.biligame.com/images/dsp/thumb/1/16/qc257ypgonmtasryondmaybu6mvn4jp.png/40px-%E7%A2%B3%E7%BA%B3%E7%B1%B3%E7%AE%A1.png,"https://patchwiki.biligame.com/images/dsp/thumb/1/16/qc257ypgonmtasryondmaybu6mvn4jp.png/60px-%E7%A2%B3%E7%BA%B3%E7%B1%B3%E7%AE%A1.png 1.5x, https://patchwiki.biligame.com/images/dsp/1/16/qc257ypgonmtasryondmaybu6mvn4jp.png 2x"
粒子宽带,粒子宽带,https://patchwiki.biligame.com/images/dsp/thumb/b/bc/adlg3xz4wzmoxahd8zscp0ww1vrqdim.png/40px-%E7%B2%92%E5%AD%90%E5%AE%BD%E5%B8%A6.png,"https://patchwiki.biligame.com/images/dsp/thumb/b/bc/adlg3xz4wzmoxahd8zscp0ww1vrqdim.png/60px-%E7%B2%92%E5%AD%90%E5%AE%BD%E5%B8%A6.png 1.5x, https://patchwiki.biligame.com/images/dsp/b/bc/adlg3xz4wzmoxahd8zscp0ww1vrqdim.png 2x"
钛化弹箱,钛化弹箱,https://patchwiki.biligame.com/images/dsp/thumb/2/2a/3ffzquhyg88w3l03b32oxbm4qtffir2.png/40px-%E9%92%9B%E5%8C%96%E5%BC%B9%E7%AE%B1.png,"https://patchwiki.biligame.com/images/dsp/thumb/2/2a/3ffzquhyg88w3l03b32oxbm4qtffir2.png/60px-%E9%92%9B%E5%8C%96%E5%BC%B9%E7%AE%B1.png 1.5x, https://patchwiki.biligame.com/images/dsp/2/2a/3ffzquhyg88w3l03b32oxbm4qtffir2.png 2x"
超音速导弹组,超音速导弹组,https://patchwiki.biligame.com/images/dsp/thumb/d/df/flss3tqi87le14e22mavuiv6mzvt3ga.png/40px-%E8%B6%85%E9%9F%B3%E9%80%9F%E5%AF%BC%E5%BC%B9%E7%BB%84.png,"https://patchwiki.biligame.com/images/dsp/thumb/d/df/flss3tqi87le14e22mavuiv6mzvt3ga.png/60px-%E8%B6%85%E9%9F%B3%E9%80%9F%E5%AF%BC%E5%BC%B9%E7%BB%84.png 1.5x, https://patchwiki.biligame.com/images/dsp/d/df/flss3tqi87le14e22mavuiv6mzvt3ga.png 2x"
